inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
2022,3,27,1473,3,7.0,38.0,3.6375861597263857,1.9459101490553132
2022,3,27,1473,5,9.8,49.0,3.8918202981106265,2.2823823856765264
2022,3,27,1473,6,13.3,56.0,4.02535169073515,2.5877640352277083
2022,3,27,1473,7,10.7,55.0,4.007333185232471,2.3702437414678603
2022,3,27,1473,8,6.9,52.0,3.9512437185814275,1.9315214116032138
2022,3,27,1473,9,7.2,43.0,3.7612001156935624,1.9740810260220096
2022,3,27,1473,10,15.6,75.0,4.31748811353631,2.747270914255491
2022,3,27,1473,11,5.5,40.0,3.6888794541139363,1.7047480922384253
2022,3,27,1473,12,6.8,48.0,3.871201010907891,1.916922612182061
2022,3,27,1473,13,5.8,37.0,3.6109179126442243,1.7578579175523736
2022,3,27,1473,14,5.2,43.0,3.7612001156935624,1.6486586255873816
2022,3,27,1473,15,9.5,60.0,4.0943445622221,2.2512917986064953
2022,3,27,1473,26,13.4,67.0,4.204692619390966,2.5952547069568657
2022,3,27,1473,27,6.7,36.0,3.58351893845611,1.9021075263969205
2022,3,27,1473,29,7.2,52.0,3.9512437185814275,1.9740810260220096
2022,3,27,1473,31,7.2,40.0,3.6888794541139363,1.9740810260220096
2022,3,27,1473,33,8.5,56.0,4.02535169073515,2.1400661634962708
2022,3,27,1473,37,8.0,49.0,3.8918202981106265,2.0794415416798357
2022,3,27,1473,39,4.3,30.0,3.4011973816621555,1.4586150226995167
2022,3,27,1473,41,5.2,38.0,3.6375861597263857,1.6486586255873816
